time_of_day_key,time,hour
142300,14:23:00.000000,14
142400,14:24:00.000000,14
142500,14:25:00.000000,14
142600,14:26:00.000000,14
142700,14:27:00.000000,14
142800,14:28:00.000000,14
143000,14:30:00.000000,14
143100,14:31:00.000000,14
143200,14:32:00.000000,14
143300,14:33:00.000000,14
143400,14:34:00.000000,14
143500,14:35:00.000000,14
143600,14:36:00.000000,14
143700,14:37:00.000000,14
143800,14:38:00.000000,14
143900,14:39:00.000000,14
144000,14:40:00.000000,14
144100,14:41:00.000000,14
144200,14:42:00.000000,14
144300,14:43:00.000000,14
144400,14:44:00.000000,14
144500,14:45:00.000000,14
144600,14:46:00.000000,14
144700,14:47:00.000000,14
144800,14:48:00.000000,14
144900,14:49:00.000000,14
145000,14:50:00.000000,14
145100,14:51:00.000000,14
145200,14:52:00.000000,14
145300,14:53:00.000000,14
145400,14:54:00.000000,14
145500,14:55:00.000000,14
145600,14:56:00.000000,14
145700,14:57:00.000000,14
145800,14:58:00.000000,14
145900,14:59:00.000000,14
150000,15:00:00.000000,15
150100,15:01:00.000000,15
150200,15:02:00.000000,15
150300,15:03:00.000000,15
150400,15:04:00.000000,15
150500,15:05:00.000000,15
150600,15:06:00.000000,15
150800,15:08:00.000000,15
151000,15:10:00.000000,15
151100,15:11:00.000000,15
151200,15:12:00.000000,15
151300,15:13:00.000000,15
151400,15:14:00.000000,15
151600,15:16:00.000000,15
151700,15:17:00.000000,15
151800,15:18:00.000000,15
152000,15:20:00.000000,15
152100,15:21:00.000000,15
152200,15:22:00.000000,15
152300,15:23:00.000000,15
152500,15:25:00.000000,15
152600,15:26:00.000000,15
152700,15:27:00.000000,15
152800,15:28:00.000000,15
153000,15:30:00.000000,15
153100,15:31:00.000000,15
153300,15:33:00.000000,15
153400,15:34:00.000000,15
153600,15:36:00.000000,15
154100,15:41:00.000000,15
154300,15:43:00.000000,15
154800,15:48:00.000000,15
155400,15:54:00.000000,15
155500,15:55:00.000000,15
155700,15:57:00.000000,15
155900,15:59:00.000000,15
160000,16:00:00.000000,16
160100,16:01:00.000000,16
160200,16:02:00.000000,16
160300,16:03:00.000000,16
160400,16:04:00.000000,16
160800,16:08:00.000000,16
161100,16:11:00.000000,16
161200,16:12:00.000000,16
161300,16:13:00.000000,16
161400,16:14:00.000000,16
161600,16:16:00.000000,16
161800,16:18:00.000000,16
161900,16:19:00.000000,16
162100,16:21:00.000000,16
162500,16:25:00.000000,16
162700,16:27:00.000000,16
162800,16:28:00.000000,16
163000,16:30:00.000000,16
163100,16:31:00.000000,16
163200,16:32:00.000000,16
163400,16:34:00.000000,16
163600,16:36:00.000000,16
163700,16:37:00.000000,16
163800,16:38:00.000000,16
164000,16:40:00.000000,16
164100,16:41:00.000000,16
164300,16:43:00.000000,16
164400,16:44:00.000000,16
164500,16:45:00.000000,16
164700,16:47:00.000000,16
164800,16:48:00.000000,16
165000,16:50:00.000000,16
165100,16:51:00.000000,16
165200,16:52:00.000000,16
165300,16:53:00.000000,16
165400,16:54:00.000000,16
165500,16:55:00.000000,16
165600,16:56:00.000000,16
165700,16:57:00.000000,16
165800,16:58:00.000000,16
165900,16:59:00.000000,16
170000,17:00:00.000000,17
170100,17:01:00.000000,17
170200,17:02:00.000000,17
170300,17:03:00.000000,17
170400,17:04:00.000000,17
170500,17:05:00.000000,17
170600,17:06:00.000000,17
170800,17:08:00.000000,17
170900,17:09:00.000000,17
171100,17:11:00.000000,17
171200,17:12:00.000000,17
171300,17:13:00.000000,17
171400,17:14:00.000000,17
171500,17:15:00.000000,17
171600,17:16:00.000000,17
171700,17:17:00.000000,17
171800,17:18:00.000000,17
172000,17:20:00.000000,17
172300,17:23:00.000000,17
172400,17:24:00.000000,17
172500,17:25:00.000000,17
172600,17:26:00.000000,17
172700,17:27:00.000000,17
172800,17:28:00.000000,17
172900,17:29:00.000000,17
173000,17:30:00.000000,17
173100,17:31:00.000000,17
173200,17:32:00.000000,17
173300,17:33:00.000000,17
173400,17:34:00.000000,17
173500,17:35:00.000000,17
173600,17:36:00.000000,17
173700,17:37:00.000000,17
173800,17:38:00.000000,17
173900,17:39:00.000000,17
174000,17:40:00.000000,17
174100,17:41:00.000000,17
174200,17:42:00.000000,17
174300,17:43:00.000000,17
174400,17:44:00.000000,17
174500,17:45:00.000000,17
174600,17:46:00.000000,17
174700,17:47:00.000000,17
174800,17:48:00.000000,17
174900,17:49:00.000000,17
175000,17:50:00.000000,17
175100,17:51:00.000000,17
175200,17:52:00.000000,17
175300,17:53:00.000000,17
175400,17:54:00.000000,17
175500,17:55:00.000000,17
175600,17:56:00.000000,17
175700,17:57:00.000000,17
175800,17:58:00.000000,17
